[32m[I 2022-03-30 03:46:11,801][0m A new study created in memory with name: no-name-2e0162db-ca8b-4411-9a88-0839e4128bad[0m
[32m[I 2022-03-30 04:18:19,731][0m Trial 12 finished with value: 0.9721097038757875 and parameters: {'reg_alpha': 0.9106094442121585, 'reg_lambda': 3.2135772885744176, 'subsample': 0.6636195885201769, 'colsample_bytree': 0.6515948668727524, 'max_depth': 9, 'min_child_weight': 11, 'learning_rate': 0.05097248914832657, 'gamma': 0.59333344820485, 'grow_policy': 'lossguide', 'max_delta_step': 6.976617428476271, 'scale_pos_weight': 3.1739028353467793}. Best is trial 12 with value: 0.9721097038757875.[0m
[32m[I 2022-03-30 04:22:17,321][0m Trial 13 finished with value: 0.9709305433721956 and parameters: {'reg_alpha': 1.7112865787491418, 'reg_lambda': 3.81281663695115, 'subsample': 0.7841527305471483, 'colsample_bytree': 0.7701868181010256, 'max_depth': 11, 'min_child_weight': 17, 'learning_rate': 0.15098275779685244, 'gamma': 2.5527986489988153, 'grow_policy': 'lossguide', 'max_delta_step': 9.012431785149989, 'scale_pos_weight': 4.795052856044601}. Best is trial 12 with value: 0.9721097038757875.[0m
[32m[I 2022-03-30 04:25:43,209][0m Trial 14 finished with value: 0.9702009189064292 and parameters: {'reg_alpha': 1.5179433826471125, 'reg_lambda': 4.6204855720352365, 'subsample': 0.9151359448708739, 'colsample_bytree': 0.8645508683366367, 'max_depth': 10, 'min_child_weight': 34, 'learning_rate': 0.24682357119242498, 'gamma': 1.184656949562709, 'grow_policy': 'depthwise', 'max_delta_step': 8.489593386495073, 'scale_pos_weight': 8.952758945474741}. Best is trial 12 with value: 0.9721097038757875.[0m
[32m[I 2022-03-30 04:28:52,344][0m Trial 15 finished with value: 0.9713918459945031 and parameters: {'reg_alpha': 5.0050359643814275, 'reg_lambda': 5.175123979075678, 'subsample': 0.676302644635694, 'colsample_bytree': 0.8253458869882798, 'max_depth': 8, 'min_child_weight': 13, 'learning_rate': 0.14856971908411096, 'gamma': 0.7162667247088119, 'grow_policy': 'lossguide', 'max_delta_step': 6.9679549628968065, 'scale_pos_weight': 5.151049027017962}. Best is trial 12 with value: 0.9721097038757875.[0m
[32m[I 2022-03-30 04:30:35,817][0m Trial 16 finished with value: 0.9649661546922083 and parameters: {'reg_alpha': 5.4647631633994, 'reg_lambda': 4.80647814634637, 'subsample': 0.6728270102583429, 'colsample_bytree': 0.4708916879851225, 'max_depth': 5, 'min_child_weight': 40, 'learning_rate': 0.16827786860062066, 'gamma': 0.16401673056630017, 'grow_policy': 'lossguide', 'max_delta_step': 8.090050475813138, 'scale_pos_weight': 0.897059950445243}. Best is trial 12 with value: 0.9721097038757875.[0m
[32m[I 2022-03-30 04:35:03,591][0m Trial 17 finished with value: 0.9688433114384147 and parameters: {'reg_alpha': 6.5272789309644, 'reg_lambda': 5.705210244588296, 'subsample': 0.5939488219892675, 'colsample_bytree': 0.9022143277352234, 'max_depth': 9, 'min_child_weight': 2, 'learning_rate': 0.30089922583871126, 'gamma': 1.9161469727444673, 'grow_policy': 'lossguide', 'max_delta_step': 6.041409275296748, 'scale_pos_weight': 13.332967335493585}. Best is trial 12 with value: 0.9721097038757875.[0m
[32m[I 2022-03-30 04:36:22,714][0m Trial 18 finished with value: 0.962798171723619 and parameters: {'reg_alpha': 2.3594182310087732, 'reg_lambda': 6.3470876122513875, 'subsample': 0.37515393459620394, 'colsample_bytree': 0.6564079292378048, 'max_depth': 3, 'min_child_weight': 8, 'learning_rate': 0.18019743581059602, 'gamma': 0.2799049409868326, 'grow_policy': 'lossguide', 'max_delta_step': 4.571985557333612, 'scale_pos_weight': 3.7039624098197588}. Best is trial 12 with value: 0.9721097038757875.[0m
[32m[I 2022-03-30 04:39:23,362][0m Trial 19 finished with value: 0.9643476248614156 and parameters: {'reg_alpha': 8.10168915495144, 'reg_lambda': 2.9105212428816363, 'subsample': 0.9786028781936145, 'colsample_bytree': 0.8333470002033293, 'max_depth': 6, 'min_child_weight': 19, 'learning_rate': 0.5640052214467449, 'gamma': 3.5518770911717623, 'grow_policy': 'lossguide', 'max_delta_step': 8.887217372513888, 'scale_pos_weight': 1.3453212042230092}. Best is trial 12 with value: 0.9721097038757875.[0m
[32m[I 2022-03-30 04:42:33,011][0m Trial 20 finished with value: 0.9715280357729145 and parameters: {'reg_alpha': 0.3564286266150608, 'reg_lambda': 2.9430628454597776, 'subsample': 0.6227659758213564, 'colsample_bytree': 0.5528392163261782, 'max_depth': 9, 'min_child_weight': 6, 'learning_rate': 0.1101462258886773, 'gamma': 0.8490146506373906, 'grow_policy': 'depthwise', 'max_delta_step': 4.6735756784655385, 'scale_pos_weight': 2.87999119177303}. Best is trial 12 with value: 0.9721097038757875.[0m
[32m[I 2022-03-30 04:45:47,056][0m Trial 21 finished with value: 0.9701028560279807 and parameters: {'reg_alpha': 1.5672011727663646, 'reg_lambda': 3.805196698690761, 'subsample': 0.8046560740552141, 'colsample_bytree': 0.5673370008917673, 'max_depth': 10, 'min_child_weight': 25, 'learning_rate': 0.07504702564176999, 'gamma': 0.11773662702928234, 'grow_policy': 'depthwise', 'max_delta_step': 2.529016300549754, 'scale_pos_weight': 1.3259242391703245}. Best is trial 12 with value: 0.9721097038757875.[0m
[32m[I 2022-03-30 04:48:16,516][0m Trial 22 finished with value: 0.9690683896246712 and parameters: {'reg_alpha': 0.013581360331373582, 'reg_lambda': 3.0723286328026598, 'subsample': 0.8637234690498171, 'colsample_bytree': 0.4609093423060089, 'max_depth': 7, 'min_child_weight': 3, 'learning_rate': 0.2535466363266538, 'gamma': 1.046840003919372, 'grow_policy': 'lossguide', 'max_delta_step': 7.512865648348145, 'scale_pos_weight': 1.1032784972473522}. Best is trial 12 with value: 0.9721097038757875.[0m
[32m[I 2022-03-30 04:50:52,848][0m Trial 23 finished with value: 0.9710400586151818 and parameters: {'reg_alpha': 2.9098812288967353, 'reg_lambda': 0.5517620747940932, 'subsample': 0.4736321985034766, 'colsample_bytree': 0.4801605867973937, 'max_depth': 7, 'min_child_weight': 3, 'learning_rate': 0.05867732372828347, 'gamma': 2.864734261094377, 'grow_policy': 'depthwise', 'max_delta_step': 4.89850883674245, 'scale_pos_weight': 7.336810684611151}. Best is trial 12 with value: 0.9721097038757875.[0m
[32m[I 2022-03-30 04:53:40,156][0m Trial 24 finished with value: 0.9680919949070033 and parameters: {'reg_alpha': 5.306404166380404, 'reg_lambda': 6.057869020794157, 'subsample': 0.34733398594596165, 'colsample_bytree': 0.7351034523758504, 'max_depth': 9, 'min_child_weight': 11, 'learning_rate': 0.020619747065580757, 'gamma': 1.797063630788779, 'grow_policy': 'lossguide', 'max_delta_step': 8.144377827079044, 'scale_pos_weight': 4.476911189861736}. Best is trial 12 with value: 0.9721097038757875.[0m
[32m[I 2022-03-30 04:56:30,668][0m Trial 25 finished with value: 0.9679932028617109 and parameters: {'reg_alpha': 0.798973736946837, 'reg_lambda': 4.703691689513947, 'subsample': 0.53416096706695, 'colsample_bytree': 0.5352591894406973, 'max_depth': 13, 'min_child_weight': 4, 'learning_rate': 0.31066493111070903, 'gamma': 0.6385362765405931, 'grow_policy': 'lossguide', 'max_delta_step': 6.118311122683933, 'scale_pos_weight': 1.199942607693425}. Best is trial 12 with value: 0.9721097038757875.[0m
[32m[I 2022-03-30 04:58:33,852][0m Trial 26 finished with value: 0.9646801271828552 and parameters: {'reg_alpha': 0.603980470772185, 'reg_lambda': 2.7521969567254283, 'subsample': 0.5340326008261074, 'colsample_bytree': 0.5004518695667051, 'max_depth': 7, 'min_child_weight': 10, 'learning_rate': 0.4252878075825898, 'gamma': 0.6725028545750866, 'grow_policy': 'depthwise', 'max_delta_step': 4.593379664514628, 'scale_pos_weight': 2.5912655704608496}. Best is trial 12 with value: 0.9721097038757875.[0m
[32m[I 2022-03-30 04:59:50,540][0m Trial 27 finished with value: 0.9537843561748073 and parameters: {'reg_alpha': 4.2345186166245945, 'reg_lambda': 8.115811905817923, 'subsample': 0.7131528848178821, 'colsample_bytree': 0.7963730964107965, 'max_depth': 2, 'min_child_weight': 29, 'learning_rate': 0.11208294546309569, 'gamma': 3.184591452126045, 'grow_policy': 'depthwise', 'max_delta_step': 8.011035488394482, 'scale_pos_weight': 10.970772801913}. Best is trial 12 with value: 0.9721097038757875.[0m
[32m[I 2022-03-30 05:02:38,039][0m Trial 28 finished with value: 0.9711974475630009 and parameters: {'reg_alpha': 2.3937935965350094, 'reg_lambda': 5.044500931827787, 'subsample': 0.7346627562303021, 'colsample_bytree': 0.6500756638634095, 'max_depth': 6, 'min_child_weight': 10, 'learning_rate': 0.16549094101746026, 'gamma': 0.1595774517072056, 'grow_policy': 'lossguide', 'max_delta_step': 5.4655456137565155, 'scale_pos_weight': 9.57837990644622}. Best is trial 12 with value: 0.9721097038757875.[0m
[32m[I 2022-03-30 05:05:17,776][0m Trial 29 finished with value: 0.964886791049974 and parameters: {'reg_alpha': 3.4414227800329407, 'reg_lambda': 0.5258972205160592, 'subsample': 0.46619447349102194, 'colsample_bytree': 0.8896943760435028, 'max_depth': 6, 'min_child_weight': 9, 'learning_rate': 0.37997555768178526, 'gamma': 1.816433737896247, 'grow_policy': 'lossguide', 'max_delta_step': 7.646122220820521, 'scale_pos_weight': 9.6485850042126}. Best is trial 12 with value: 0.9721097038757875.[0m
[32m[I 2022-03-30 05:06:44,844][0m Trial 30 finished with value: 0.9679095932390066 and parameters: {'reg_alpha': 0.37258772199151213, 'reg_lambda': 5.176334563046909, 'subsample': 0.36209474895649796, 'colsample_bytree': 0.42396824104763253, 'max_depth': 9, 'min_child_weight': 12, 'learning_rate': 0.15498597727901325, 'gamma': 0.7029359753381091, 'grow_policy': 'depthwise', 'max_delta_step': 6.88557304737845, 'scale_pos_weight': 6.716828224678888}. Best is trial 12 with value: 0.9721097038757875.[0m
[32m[I 2022-03-30 05:10:09,962][0m Trial 31 finished with value: 0.9584740481554261 and parameters: {'reg_alpha': 1.2073694335053287, 'reg_lambda': 6.079532450223039, 'subsample': 0.828981750246906, 'colsample_bytree': 0.665297104440063, 'max_depth': 6, 'min_child_weight': 2, 'learning_rate': 0.009742939986251087, 'gamma': 3.360529124952125, 'grow_policy': 'lossguide', 'max_delta_step': 5.062475361307682, 'scale_pos_weight': 6.3973174230697225}. Best is trial 12 with value: 0.9721097038757875.[0m
[32m[I 2022-03-30 05:13:27,622][0m Trial 32 finished with value: 0.9683356167872071 and parameters: {'reg_alpha': 0.7646745434601839, 'reg_lambda': 2.199062111554537, 'subsample': 0.6323167700118711, 'colsample_bytree': 0.6545755866371206, 'max_depth': 7, 'min_child_weight': 9, 'learning_rate': 0.018195162426465947, 'gamma': 0.7899383270625174, 'grow_policy': 'lossguide', 'max_delta_step': 9.047129075572935, 'scale_pos_weight': 8.84966766203399}. Best is trial 12 with value: 0.9721097038757875.[0m
